"","HG1","HG10","HG4","HG5","HG6","HG7","HG8","HG9","MG1","MG10","MG2","MG3","MG4","MG5","MG6","MG7","MG8","MG9","HR1","HR10","HR2","HR3","HR4","HR5","HR6","HR7","HR8","HR9","MR1","MR10","MR2","MR3","MR4","MR5","MR6","MR7","MR8","MR9","PC1","PC2","PC3","pc1.change","pc2.change"
"271.4/2119",408.435628638661,1041.68835321732,8689.39406530163,8140.72838563984,4110.82452970594,1659.14776194486,139.008178718039,537.758473910624,24.8311487545862,52.1165106717278,49.6622975091724,24.8311487545862,24.8311487545862,24.8311487545862,24.8311487545862,127.108749530744,54.5624043446733,73.3106821794063,1272.58519430955,5223451.16591463,4179695.04831149,2530.02362022382,1688.75168188749,6475998.28860295,681693.493340492,2020031.82008407,3963487.94789427,2779835.99539321,2945401.48297817,215435.939210715,1664.9267128706,2854448.51036534,3302.86860716343,5316.89232923178,7944.32408047219,24.8311487545862,317.709327587858,24.8311487545862,-0.0967713246531734,-0.1113933511093,-0.049931879761792,"DOWN","DOWN"
"186.5/1629",138875.508905403,61.1925471398281,7521.61279057007,17963.9674877593,102.306168615702,65612.1624197945,58633.4677866196,2942.28701816488,30.5962735699141,30.5962735699141,30.5962735699141,30.5962735699141,30.5962735699141,30.5962735699141,65.808775975588,170.870947421208,30.5962735699141,30.5962735699141,9094.09308056165,330.288604415662,4405.55398396992,50868.1265203095,41836.3859060997,24934.237746174,6980.81511930807,450.357823992963,1574.1537697505,72495.8018708285,30.5962735699141,30.5962735699141,30.5962735699141,30.5962735699141,124.867589760514,30.5962735699141,70.2652637919527,30.5962735699141,30.5962735699141,30.5962735699141,-0.126134908798122,0.00707905281459576,0.0558591573554463,"DOWN","none"
"393.6/1300",6371.44457091307,1362.40209483591,7591.36404703815,12111.544808828,4223.58466491505,4014.67922735948,2629.52157042833,530.678436652922,393.226209224726,184.305331098469,151.835057555698,78.7855474985554,845.326846706517,298.057408741401,176.573159181804,154.599999867215,164.801080735976,199.277379425863,37350.032734897,27652.6942110959,27347.137797993,20956.6687519986,22894.8338125819,26545.3185103096,22835.7363238472,11506.6206690018,13600.990150946,22227.1971524556,255.555009306135,6286.50406093687,263.139961884532,886.09715777071,84.9218898065961,39.3927737492777,120.909103821963,866.858664230389,368.896862382244,1915.48839363846,-0.117006534382474,-0.0289387354672791,0.0156976962194563,"DOWN","none"
"497.4/1714",120214.56912943,106539.302472373,50880.220117002,54352.0165406739,85442.2201810772,108839.017839727,118027.902539076,71737.8680564091,34.3209736449233,34.3209736449233,2642.11808551219,34.3209736449233,34.3209736449233,34.3209736449233,34.3209736449233,34.3209736449233,34.3209736449233,68.6419472898466,598.312606096268,27801.5781877836,749.687421167051,327.081695392076,421.474598586559,15723.7793703994,2228.89028783465,60906.5341303957,25047.8330201595,25426.6852140455,34.3209736449233,9013.87139069743,34.3209736449233,8924.63011765538,34.3209736449233,442.706465739538,34.3209736449233,34.3209736449233,34.3209736449233,687.930793802966,-0.118566204655102,0.0314888076894881,-0.115069243099742,"DOWN","none"
"529.8/992",2395.30108705049,19907.8345959705,124040.843357234,59646.2488410902,54816.2454639775,25070.634795178,18448.7664641325,14209.3950711046,2136.61254156957,1086.23321061424,1670.47246044436,1553.60013976878,946.352054108762,1274.84742358861,1448.30930158951,254.642507166783,716.048053268679,1351.8624128987,80891.0561697826,30936.0681778745,65295.9006406095,94813.5036929221,54525.15079426,93721.5149528799,12887.1093540506,16877.9576536031,3324.87840266821,19070.0668265642,272.120154842734,1149.23145916794,208.353154262637,150.233144404806,405.6341104929,166.328575680817,388.94769437029,2046.41504921375,744.540737635141,625.174856744296,-0.117752401480288,0.023453231371527,0.0475979942784216,"DOWN","none"
"706.9/1301",1656.86999436554,6158.31307928723,18344.9685364847,141590.11595105,30313.2719151165,20873.1980371011,3491.76472842586,673.747338496363,243.458852946185,278.071203145163,334.521736196099,343.89806532867,6990.92070243594,364.732200614105,185.408816998323,361.30369830307,59.9677590120655,2268.30613326496,18829.1206543309,28668.1479448567,37262.1405636057,53782.7457295486,31551.680495288,148068.040411461,26571.4494542514,71294.6012375603,8413.48659411818,70440.1813836925,2467.66257408647,38683.9187415935,712.30510018551,7949.52089307031,3376.38742709913,5702.67478526907,448.854648966808,5636.44449639177,4707.86439377571,22819.2183769344,-0.101973839346885,-0.0606294098405224,-0.0623981721951119,"DOWN","none"
"770.9/1285",181699.40875901,170819.738838673,477987.909286502,389900.067832724,546227.963450968,419883.303079273,147244.213828105,99680.0912223462,3440.95940303496,3853.0175947799,12937.1937571373,7070.47281991822,130825.133177298,6600.41789300574,2264.0645406542,5863.67156093861,6549.9649680362,97305.2940656554,370575.02267492,180877.689273519,210103.489102643,92188.0091133756,273100.97862834,460928.578422854,315164.362454333,191428.90684247,162074.521730405,494699.474124858,11323.9156348279,256785.822282589,21059.8205723721,106945.247842512,25695.3954657808,29545.7140329731,16134.7396849905,26779.2771164636,23911.1590676221,75290.2659060906,-0.0970803701049275,-0.0246972219905973,-0.0489949927818025,"DOWN","none"
"771.1/1285",185679.809184985,171626.001408283,493316.348320906,824179.773889134,546741.342513654,415696.054482326,148388.684677787,97787.9913060165,3440.95940303496,3853.0175947799,12502.9793364338,7070.47281991822,132179.59780311,6600.41789300574,2264.0645406542,5863.67156093861,6549.9649680362,100248.946082261,371570.631919874,176796.502131529,1043853.23243269,90208.216964101,272227.375891789,452015.836955701,311503.177940955,198690.775205195,168588.355462156,480065.114275658,10935.5429462316,255639.618692534,20573.5298767677,108093.760033642,28136.9962123163,30244.4500481539,16529.2807185258,25963.3518724115,22947.8203243553,76555.1701027353,-0.100041789403964,-0.0249704112762043,-0.0386708158919618,"DOWN","none"
"772.8/1286",14337.5057759018,14096.2224533261,21060.3431275447,22657.5461886193,19470.7026008435,21227.6804938308,12014.8045242026,8003.60427610825,493.564237107005,271.433120779072,704.490282497395,684.363226877758,10633.8959145211,525.470635666316,118.240499993424,270.345591172679,281.241963550966,9719.45876474777,23086.5785462742,14466.620688189,21314.9181706207,9122.11422328941,16586.6548260978,20481.0841635795,18450.2004775703,14285.3144961339,12769.4491124436,22588.544487964,902.965110042476,18259.3654170248,1612.33650811912,8292.18283384674,2432.12362416461,2719.9635128163,1291.89859346555,2238.88023742475,1731.1210657532,7517.19440765482,-0.0924593052231948,-0.030413339566852,-0.0512061246742672,"DOWN","none"
"806.9/1285",11463.0767477558,6848.39362860767,19760.020615263,37417.175252585,23124.3193875187,17001.7334525749,7893.00314494502,4911.60718853637,153.447714080267,76.7238570401335,509.069052933113,495.338044043849,8262.83438068527,291.00953961081,183.478142913869,387.653969878523,271.466422571855,3843.79089264046,13808.5539703699,6852.36002820092,39459.1038537264,3995.74151212952,10614.3358301487,17449.2163115172,11811.0923665226,7304.94807386084,7058.4843980564,19310.6275855951,361.901232136468,12635.8064986653,669.711067480501,4265.50741337158,1726.20495463386,1218.10976771702,870.453010420839,1181.80008217734,737.883798274626,4140.84116431524,-0.0976640849712491,-0.0203122428092909,-0.042773442172703,"DOWN","none"
"902.9/1193",74672.5715972886,19495.2296092308,76331.7172420109,245588.668168875,196242.676342207,165395.644124066,22774.0916079182,29116.2840785172,492.936677628109,1849.92547852634,2196.30578247743,1923.07729399724,27940.6910811411,1168.87678111358,824.323656667024,3575.94370918581,3563.45377066014,19977.6212146862,22380.4440410383,43447.5833465908,271777.368828047,22363.29735668,79070.9351666171,120769.301329448,50763.6436080393,32237.1076351287,28165.6794898429,111621.304455125,836.682542323652,20794.5164028005,969.256221331863,5212.54482119311,1104.01903235925,3258.08506213225,1201.44118196826,7051.26257679658,4754.09742176812,10693.7773829268,-0.10633941494725,0.00479842226883489,-0.0297926472573513,"DOWN","none"
"342.9/1232",2006.76702509179,1349.2874477955,10569.6461572764,2529.14970876786,1729.41447135744,1021.31980490584,245.642743433777,7402.49132641219,545.613682141553,2381.30136745247,3366.33595387368,2415.12213149448,2763.21851292553,740.461117773275,543.509414060041,290.170063879005,388.517785589676,513.178912403372,655.052123905315,53494.2014486143,837.242425424753,10670.0403016594,4234.88981031088,88060.4815642842,50057.1538017229,38872.889708317,40507.961392007,93429.2021675689,11367.1850309945,85297.1688685005,10675.6001397361,7577.96647871363,15877.8624743624,8401.06589536084,12070.1352176874,26540.430887937,23570.0014405626,39882.8460374848,-0.0255424575192607,-0.100075299649729,-0.0822791719375665,"none","DOWN"
"377.9/950",792.886400643517,888.542984121671,3230.32479666889,350.581071181784,503.408606973189,630.862901015222,865.812286022325,195.009599872457,153.30717403632,980.539166111732,554.142799505526,542.67877104736,648.228487289355,555.812340130667,504.306440428242,810.397732598817,763.112764334032,343.7033622388,195.598507577252,83634.6160392475,84735.7578968516,31966.2380956651,107338.095057008,47210.1845909797,45911.0583785423,11214.3498309481,21001.2851245651,15155.0541615677,4566.85110140708,7576.26651393203,26290.5658479263,9480.18845218467,12902.0494650068,11000.8183295957,6417.54887200328,11302.7665117505,13073.8545250198,2888.07880430904,-0.0400706953499311,-0.111121144244322,-0.00850322698003277,"none","DOWN"
"399.4/329",2921.76744194876,7228.50707431125,4898.34672580019,2460.87405027242,1683.62741921277,2115.90009584418,3666.13445150644,5064.35109592594,3014.4076175837,2990.1224257906,4482.25960520768,3068.94577169787,3652.7204597945,3134.39514450765,3752.90499819008,4279.85772594681,4781.23597763239,2761.45720772473,65946.1181097345,38498.7834814616,55938.4196618224,90902.1554732072,42072.0592969556,38778.4979581534,45676.145071564,35124.931054591,39688.5699393024,22499.0816650517,17247.5923139391,56972.594428606,27286.7439215047,38551.8541791149,33832.2771298067,22845.0067860427,16027.018138091,42939.6560871274,52195.7064997553,30047.6452198296,-0.0205236276635378,-0.104182591794139,0.0203269092073517,"none","DOWN"
"539.9/976",270.883356820714,301.742156231173,510.039208349279,354.543830089381,434.58355591742,508.121574315681,549.791643120732,869.241822720245,421.434559735617,311.998487271136,402.315032252343,138.317581025486,214.485475135657,639.434385054745,47.0886386827721,303.552720531588,252.182220113464,186.444200264094,29461.7390197705,18660.1505094965,108409.599936907,13391.4773270215,74321.1346751464,7778.23199406744,51514.9587537441,3827.99346194568,9036.15760228457,12228.5215489387,18698.4753548379,7731.49566595727,41058.6318547509,13084.3243287858,13144.705211324,8611.63291343741,8554.29531314908,18491.687518463,15677.0267525665,1487.17047538065,-0.0314974172944832,-0.129380851901553,0.0540717664141294,"none","DOWN"
"541/716",665.517622736392,286.137002256535,9731.69564159176,677.940098522231,601.1864412042,216.205996689413,425.405677446637,329.326548579265,698.802927746437,227.780192890068,285.488907167455,400.251361717004,303.476290831401,594.42320622853,858.123739703654,283.211973826196,108.102998344707,248.585622332196,1073.15120187862,39957.2100907118,135897.664021645,246415.342774984,146757.70312143,167434.083992433,39985.1003702542,13500.5239596277,11481.6986801003,23566.5158956449,800.008266888265,18172.9433779124,1159.06065686792,3431.82929073548,3375.11656413917,6867.36209808561,7095.94732527096,13136.5865988084,14580.0704529105,2973.92108455278,-0.0659035860338036,-0.111832660736491,0.0211235564712899,"none","DOWN"
"564.9/738",5393.06831270979,541.164783434244,37238.0629136597,2990.66844269426,9427.38289177358,7244.72780028581,1068.72332041489,18451.4993762615,1220.5406884453,1059.29777697322,3140.19288080683,2419.90314372448,2244.45516631531,1314.32074682327,250.019697478468,286.057381239526,664.989494477668,801.54600018387,26954.6477358042,62217.6375115042,127858.336555391,123677.276764747,147516.613516304,114569.385837183,55889.3049899939,5767.66001827755,24533.0245233966,45820.1608049439,10012.8276012199,29158.7238234984,6481.89853938159,16877.893626006,18946.1393398404,8742.29217667716,14185.3713858291,55443.1496558242,57949.8241387353,7439.40873142663,-0.0613100225586537,-0.100833754975234,0.0347587149296741,"none","DOWN"
"593/1355",1088.58160400065,1870.1630600698,3013.70828718736,1932.90988946481,857.923205722065,1081.1548573469,1280.84254624997,1585.48188207555,314.242464018547,324.39379573823,885.632946499103,665.312741489121,1325.85498980875,185.710626214044,111.890414938272,124.36016917604,83.3475564331748,124.463769308641,82429.884112294,9980.62477073465,83183.703948724,25197.494777564,26581.7367333009,38528.383346445,18018.2050245345,10119.3276315332,8244.28353564055,29140.4581843278,2034.67908174282,13191.7431538307,1428.03195057329,2630.08436879508,3209.30716037052,1464.05437254166,3561.37772591359,6681.17049675019,7126.59398088812,3217.89230092516,-0.0752831829105061,-0.096078727437889,0.0382869712952741,"none","DOWN"
"595/1326",3868.97390139225,3691.57696831144,11259.3173883321,2909.98068527286,1450.09589962554,1616.42161925463,3629.71773559158,1067.96075512932,842.965250566544,225.725413435769,1369.78825011849,1475.91472960787,14329.8418906395,1045.62504034385,390.912745262989,401.349099554587,157.496506468451,16414.4400227979,19271.8292060948,28118.6840144121,13189.3747473516,40640.9718278865,9450.67480495898,19483.5980362887,31937.82223898,102340.760796326,38125.6519981369,28831.2631507674,6807.93874766815,84001.8925969064,5108.63815335324,59165.1317242442,21425.0945393091,30435.7664611774,4095.56396597199,12772.9854265882,9555.30925091763,88209.6795382269,-0.0439464557053362,-0.101257067708951,-0.0699537847122614,"none","DOWN"
"635.7/1648",1163.21989520453,1544.01600514927,17107.054082814,1170.79380597673,1305.32507764028,1339.50100898417,972.454529329384,1832.70642452145,519.655835731369,888.726997135536,1420.05869021675,516.973996456658,855.514434413519,741.317807301797,291.984241439632,730.274548455141,572.820404843893,487.68878629545,15806.7160228729,12982.7372088372,6897.83936758115,32419.6301892258,44756.5967575053,17607.392583584,19750.2751686855,7155.8878945814,13305.0591346045,15165.3916752526,4194.20642588194,3982.89473913158,4047.38372434657,8546.20891693656,4009.75933334767,15261.0410042186,10681.2859862688,23428.8250371607,29659.0408961354,4493.5129133554,-0.0453450828110264,-0.101598428643989,0.0217518595036416,"none","DOWN"
"650.9/1116",602.724100602092,512.492126327852,6391.4397743548,602.798012764833,277.637784406194,354.004878692504,835.43920322691,557.522037958178,270.882409466605,156.340536877513,629.897816829267,291.97826218841,344.624681385855,274.930226598651,116.468598508975,51.3318485501222,25.6659242750611,25.6659242750611,51805.5220442862,17820.9396971537,52528.8657064752,58446.0511052122,23702.7914178477,20530.6430542238,28018.583047851,18551.7185415786,2237.20885500757,20850.5104713796,54922.1416809021,4062.16891456686,20328.4114059082,2577.59206691141,1072.34114335952,1508.44526648735,275.40467087357,2539.32807986658,2855.57856186867,7832.70711124163,-0.0707888386496292,-0.101772160720394,0.0455197719267315,"none","DOWN"
"662/1545",138.13656884071,2305.24019237841,6709.10842156882,130.582748790621,508.039197274949,453.020642236923,1203.66586974525,305.18788434587,127.103705449899,179.94880362344,401.513573000208,52.2611634205969,255.614617165702,222.091709437838,78.0625823449809,68.3178027596732,59.2566646272899,75.5410591888649,33799.3378776476,12217.1212494931,110758.414540126,37763.6271961791,38493.5782062478,22480.2614736553,23859.447379536,30049.2078150376,5094.11397851989,10002.5148704332,340.180755033158,16409.5907310387,358.980663683485,3419.74948348332,2520.65699026894,4086.14026346966,401.371757952606,9203.67737687065,8703.13368318288,3836.65918636706,-0.0779842957203612,-0.107437435621417,0.0241515262241032,"none","DOWN"
"677.4/1934",6172.95542112167,7236.59146362846,119396.010792078,24432.3908244436,35146.0541950141,28435.5771498522,2996.06850552204,3284.70598784611,2466.39712599479,24333.6681023089,59588.0462039961,13893.3688802046,45845.242245486,4104.2145172914,1464.78463809495,4632.71911044401,2866.22468702617,20761.9250852793,655505.024263113,1286547.09283455,341634.470520979,1180110.84833786,1300505.03659321,2582032.72217085,772427.451239512,1234534.61084097,1211545.74976094,1731334.40558794,123073.710771204,142277.92822006,105447.695801108,53674.4243772759,84549.5175237228,41559.4117363722,42996.0274214611,40507.0418393125,38615.6035074056,71918.560197178,-0.0754359459958772,-0.102905427553186,0.0116814152457529,"none","DOWN"
"688/325",2368.75038108706,26535.6513388414,52294.6441016013,2229.14856571732,1259.60722060658,2028.75855557316,19512.0490898939,7396.9109895149,1860.99389759194,2564.33865882298,15526.213257249,6304.83750145415,9064.38126165722,3510.61644300288,1673.09302494137,6733.0982146374,7390.30743132507,6390.6318153903,72564.9290636806,80524.8727462032,96507.8685909076,131549.308395806,116583.127843569,75588.5918651811,72344.6099332561,82885.6012563474,57334.6336537327,70289.3959858447,13917.4084100415,148932.628050948,16532.4240771298,48242.1423508984,13682.7566152288,48580.8071553876,9510.01426124916,74180.6587049952,95811.4107537375,83787.0786031471,-0.0396481218026057,-0.094566721636151,0.00353169117281672,"none","DOWN"
"692.8/326",735.754892133354,1653.97644057333,2576.53989382706,717.272325753782,450.48042786556,473.87248645495,1062.66140267331,2189.94481583731,1064.07334312577,486.159134118611,1760.70249397511,588.599562587388,660.347340114725,620.031291436301,455.749200826648,1022.93125266476,547.303817496635,162.653328316907,22289.9649829067,15836.6088105139,23354.4698016762,57656.9631165996,16649.0485781859,11676.3591872975,30633.035393161,10325.6281912301,19041.2981297489,5406.23078690332,4964.68022229496,85871.8599236023,11470.3097014157,32895.0822355095,24113.4671973362,9082.55155638065,10825.4406805574,33656.4270203378,45584.2652237984,24286.3337240389,-0.0204315758768719,-0.122740431191643,0.00788738153013542,"none","DOWN"
"758.9/1489",515.779256402405,241.411599979133,892.015250682529,577.559748339659,381.412447679788,461.540928511415,215.745240482337,70.2642384744831,76.5862310768708,188.996310020961,126.585163510432,132.737123775542,126.035754879558,68.0444110949688,30.4151400534491,60.8302801068982,78.3659507445991,226.572066035122,21552.5597291428,8865.66958916956,15026.234310528,7888.78270352876,6844.77053733047,11568.7848237628,13189.6436130973,6695.69035472581,11774.5828715868,6219.70815382479,1730.97243201919,4488.36302459193,4167.18159732409,14550.5477175892,4546.98549061043,4803.58837876818,1721.27338268967,4545.48819867664,4153.29876593303,1285.07188091257,-0.0530501940640204,-0.124850787454785,0.00896809272029642,"none","DOWN"
"805.2/2198",2006.34571125254,668.621179229231,3921.4331945926,1319.88075107656,2362.99039940728,1122.99231470557,496.722003759816,869.566318179248,117.018061290379,651.689427464386,1983.75238643214,683.230805851053,655.615069556225,353.216288122348,193.523581777699,455.528507171839,362.567250799388,312.021766810154,35514.2567293656,166358.859591383,172436.473575759,109101.052640911,224105.459438672,297709.144055865,106772.357920797,80639.3530015598,172115.069875995,224696.444754933,8236.8949011242,4354.07811608836,4628.88826816762,7334.73941455776,8094.35210794676,5326.02136020723,2471.41184010555,2134.89918801311,2155.84951098338,1220.43306848122,-0.0873639242233145,-0.101525835855751,0.0374863016038228,"none","DOWN"
"821.1/2109",315.251471836918,75.5243163974335,441.428740102266,406.252070644072,252.142516282853,196.166420230176,436.830973467728,28.0872907999903,138.445915155246,256.234779121005,439.369606597378,74.1184633548504,210.151538111766,143.42821708275,134.285199835338,56.1745815999806,65.6531757849402,70.0426751327302,6873.83175295691,22250.2576087824,20636.6554882529,13090.5382964864,7523.8714571517,38431.7775411065,7749.46896896437,6549.4082127391,35484.3596760863,41289.343097279,3195.59695340493,609.998068602057,1291.85991404372,1413.34605001911,1827.07568022838,677.105515977019,406.448015423218,410.383699866779,298.474932095584,216.733146058928,-0.0741112727681881,-0.0921284490808382,0.0405694440255585,"none","DOWN"
"839.1/1860",124.147056285292,82.8792194500566,1009.65267654125,152.947019744315,224.296199836535,203.453557257121,271.882952224987,31.6597806410864,132.113574884366,207.543832834228,616.199207464844,31.6597806410864,351.82554630811,31.6597806410864,63.3195612821728,31.6597806410864,220.909216096799,31.6597806410864,53450.3027184485,42780.8220847385,145846.167953688,96180.105732669,200459.394072559,199612.336129551,58868.9646501098,46695.5451314859,41405.9599056887,112413.490956219,1899.88743065856,11700.5520461139,5239.17194178247,6921.8318021711,6371.76870876858,5861.98473977455,4388.40459345363,12753.9575646109,13167.7964108607,5993.86965971775,-0.0672345177435402,-0.146403057892231,0.0382951082498147,"none","DOWN"
"839.2/1789",206.395457264936,178.757488139067,5072.10056867134,860.063160658876,323.02245612368,376.503906328355,34.1037467665349,327.087916471064,68.2074935330699,536.807824379997,1503.61800470122,282.053957189433,653.124549366534,34.1037467665349,34.1037467665349,34.1037467665349,75.8870052598417,256.460468121711,86009.6221671428,51444.869725892,153357.925404195,155369.41125133,238271.755816997,245926.185076803,85566.6320588114,53565.3343227933,66563.1908081017,180437.897397067,3877.48268173006,12859.6598119028,5798.56372360718,10750.3678772667,11237.2447291437,8979.24012585599,3966.38580057852,27023.1601120565,24201.0024508485,7501.92262652485,-0.0706836717411064,-0.146088288624406,0.0350373273609399,"none","DOWN"
"841.1/2165",823.877083256743,364.581363604714,1422.00308167621,281.650406442386,155.816536866962,555.411268645358,361.14624566325,504.651488870088,214.80062660831,61.5702535393403,519.271356151336,136.13676383843,69.5475286385044,157.239071380739,77.3718621698208,72.5566373588517,56.5522936560018,67.7603621612254,4542.29728025649,47060.2133524911,50061.1029905562,27660.1933676068,23110.1598203224,51946.8002467989,31275.6453406842,30356.137625064,59367.1130259028,30715.2422451013,6403.52999710757,3179.14639447919,3904.1841749134,2888.93294766276,4131.67990369909,1683.10716810411,589.958198596258,1253.12849762286,1057.07129726761,865.333057824522,-0.0778590136066469,-0.107842327132139,0.0199348534058508,"none","DOWN"
